Country,Year,Month,Average Surface Temperature
Afghanistan,2025,1,7.227942118702231
Afghanistan,2025,2,7.3959304397294545
Afghanistan,2025,3,9.685328791806569
Afghanistan,2025,4,12.925129531436141
Afghanistan,2025,5,16.14200355520461
Afghanistan,2025,6,18.58280128968636
Afghanistan,2025,7,19.7370536813296
Afghanistan,2025,8,19.359473186345895
Afghanistan,2025,9,17.492454760650617
Afghanistan,2025,10,14.488576849723358
Afghanistan,2025,11,11.03310237851565
Afghanistan,2025,12,8.16647974132593
Afghanistan,2026,1,7.2883502416707415
Afghanistan,2026,2,7.461063645759168
Afghanistan,2026,3,9.753394977368771
Afghanistan,2026,4,12.994835145495927
Afghanistan,2026,5,16.212484062228214
Afghanistan,2026,6,18.65355163266304
Afghanistan,2026,7,19.80785874479716
Afghanistan,2026,8,19.430338259408927
Afghanistan,2026,9,17.563536000006025
Afghanistan,2026,10,14.560111742664049
Afghanistan,2026,11,11.105340205919674
Afghanistan,2026,12,8.239612040732936
Afghanistan,2027,1,7.349796551855434
Afghanistan,2027,2,7.527439817728919
Afghanistan,2027,3,9.822872515299423
Afghanistan,2027,4,13.066086623509364
Afghanistan,2027,5,16.284613587370586
Afghanistan,2027,6,18.726025307970303
Afghanistan,2027,7,19.880435132276943
Afghanistan,2027,8,19.50299884308788
Afghanistan,2027,9,17.636415648900766
Afghanistan,2027,10,14.633429173872173
Afghanistan,2027,11,11.17932844758343
Afghanistan,2027,12,8.31444889508657
Afghanistan,2028,1,7.412298785363419
Afghanistan,2028,2,7.595077394206783
Afghanistan,2028,3,9.893780492927363
Afghanistan,2028,4,13.13890364784038
Afghanistan,2028,5,16.358412354341453
Afghanistan,2028,6,18.80024302693073
Afghanistan,2028,7,19.954803989007814
Afghanistan,2028,8,19.57747646280859
Afghanistan,2028,9,17.71111555930929
Afghanistan,2028,10,14.70855126810875
Afghanistan,2028,11,11.255089447347018
Afghanistan,2028,12,8.391012813583984
Afghanistan,2029,1,7.475874725559152
Afghanistan,2029,2,7.663994861811261
Afghanistan,2029,3,9.966138046428568
Afghanistan,2029,4,13.213305950500398
Afghanistan,2029,5,16.43390063730203
Afghanistan,2029,6,18.87622555213693
Afghanistan,2029,7,20.030986512299023
Afghanistan,2029,8,19.653792696918572
Afghanistan,2029,9,17.787657636862605
Afghanistan,2029,10,14.785500204657183
Afghanistan,2029,11,11.332645604395111
Afghanistan,2029,12,8.469326361578169
Afghanistan,2030,1,7.540542203119003
Afghanistan,2030,2,7.734210755324057
Afghanistan,2030,3,10.039964360924387
Afghanistan,2030,4,13.289313313304774
Afghanistan,2030,5,16.511098760988716
Afghanistan,2030,6,18.95399369758252
Afghanistan,2030,7,20.10900395169392
Afghanistan,2030,8,19.731969176774328
Afghanistan,2030,9,17.866063841033792
Afghanistan,2030,10,14.864298217392388
Afghanistan,2030,11,11.412019373293333
Afghanistan,2030,12,8.549412160636166
Afghanistan,2031,1,7.6063190960821885
Afghanistan,2031,2,7.805743657631865
Afghanistan,2031,3,10.115278670506996
Afghanistan,2031,4,13.36694556778184
Afghanistan,2031,5,16.590027100720363
Afghanistan,2031,6,19.033568328640285
Afghanistan,2031,7,20.18887760890084
Afghanistan,2031,8,19.812027586712247
Afghanistan,2031,9,17.946356185105287
Afghanistan,2031,10,14.944967594777154
Afghanistan,2031,11,11.493233264017363
Afghanistan,2031,12,8.631292888579083
Afghanistan,2032,1,7.673223329861685
Afghanistan,2032,2,7.878612199831878
Afghanistan,2032,3,10.192100258257597
Afghanistan,2032,4,13.446222595318432
Afghanistan,2032,5,16.67070608242375
Afghanistan,2032,6,19.11497036208766
Afghanistan,2032,7,20.2706288378331
Afghanistan,2032,8,19.89398966412864
Afghanistan,2032,9,18.028556736187056
Afghanistan,2032,10,15.02753067998583
Afghanistan,2032,11,11.57630984206935
Afghanistan,2032,12,8.714991279474816
Afghanistan,2033,1,7.741272877316987
Afghanistan,2033,2,7.952835061319092
Afghanistan,2033,3,10.270448456348277
Afghanistan,2033,4,13.527164327138053
Afghanistan,2033,5,16.753156182717248
Afghanistan,2033,6,19.198220766197664
Afghanistan,2033,7,20.354279044765462
Afghanistan,2033,8,19.977877199501563
Afghanistan,2033,9,18.112687615318464
Afghanistan,2033,10,15.112009870875227
Afghanistan,2033,11,11.661271728437896
Afghanistan,2033,12,8.800530123739918
Afghanistan,2034,1,7.810485758797768
Afghanistan,2034,2,8.02843096973902
Afghanistan,2034,3,10.350342646005629
Afghanistan,2034,4,13.609790744395468
Afghanistan,2034,5,16.837397928925384
Afghanistan,2034,6,19.283340560793476
Afghanistan,2034,7,20.439849688232243
Afghanistan,2034,8,20.06371203645267
Afghanistan,2034,9,18.198770997468273
Afghanistan,2034,10,15.198427620071925
Afghanistan,2034,11,11.748141599652627
Afghanistan,2034,12,8.88793226816506
Afghanistan,2035,1,7.880880042180252
Afghanistan,2035,2,8.10541870108591
Afghanistan,2035,3,10.431802257670824
Afghanistan,2035,4,13.69412187818034
Afghanistan,2035,5,16.923451899137035
Afghanistan,2035,6,19.370350817230246
Afghanistan,2035,7,20.527362279220142
Afghanistan,2035,8,20.151516071827245
Afghanistan,2035,9,18.286829111640145
Afghanistan,2035,10,15.286806435015933
Afghanistan,2035,11,11.836942187922432
Afghanistan,2035,12,8.977220615955048
Albania,2025,1,7.587313831944812
Albania,2025,2,7.741589749633022
Albania,2025,3,9.97726168153622
Albania,2025,4,13.148592615060807
Albania,2025,5,16.301973285423628
Albania,2025,6,18.69842316561426
Albania,2025,7,19.836091456222675
Albania,2025,8,19.472758075394268
Albania,2025,9,17.64833464865751
Albania,2025,10,14.707365498918989
Albania,2025,11,11.32152863625106
Albania,2025,12,8.512136747875957
Albania,2026,1,7.6473234927843805
Albania,2026,2,7.806339065563407
Albania,2026,3,10.044964830013669
Albania,2026,4,13.21795931676479
Albania,2026,5,16.372139267300554
Albania,2026,6,18.76888062386297
Albania,2026,7,19.906619519341803
Albania,2026,8,19.543353267175007
Albania,2026,9,17.719141351245526
Albania,2026,10,14.778606415778086
Albania,2026,11,11.393435255210534
Albania,2026,12,8.584879804174307
Albania,2027,1,7.70836981393677
Albania,2027,2,7.8723290152311165
Albania,2027,3,10.114076265294898
Albania,2027,4,13.288868155458658
Albania,2027,5,16.443949950870774
Albania,2027,6,18.84105658050703
Albania,2027,7,19.97891362696555
Albania,2027,8,19.615738316450916
Albania,2027,9,17.791740508616385
Albania,2027,10,14.851623686453422
Albania,2027,11,11.467085946221232
Albania,2027,12,8.659320987369028
Albania,2028,1,7.770470536223911
Albania,2028,2,7.939578040562083
Albania,2028,3,10.184615076738737
Albania,2028,4,13.361338814183
Albania,2028,5,16.517425559196454
Albania,2028,6,18.914971744886316
Albania,2028,7,20.05299492103677
Albania,2028,8,19.689934744034872
Albania,2028,9,17.86615396673824
Albania,2028,10,14.926439428360936
Albania,2028,11,11.542503044453952
Albania,2028,12,8.735482796663746
Albania,2029,1,7.833643447739632
Albania,2029,2,8.008104631601782
Albania,2029,3,10.25660040260209
Albania,2029,4,13.435391025716854
Albania,2029,5,16.59258636584218
Albania,2029,6,18.990646877679865
Albania,2029,7,20.128884595605086
Albania,2029,8,19.76596412365052
Albania,2029,9,17.942403625319457
Albania,2029,10,15.003075813511714
Albania,2029,11,11.619708940424061
Albania,2029,12,8.813387787465217
Albania,2030,1,7.897906383915142
Albania,2030,2,8.077927326493409
Albania,2030,3,10.330051430061758
Albania,2030,4,13.511044572559513
Albania,2030,5,16.66945269493681
Albania,2030,6,19.06810279088768
Albania,2030,7,20.206603896888737
Albania,2030,8,19.84384808199775
Albania,2030,9,18.020511437852292
Albania,2030,10,15.081555068431953
Albania,2030,11,11.698726080078814
Albania,2030,12,8.893058571350593
Albania,2031,1,7.963277227504477
Albania,2031,2,8.149064711572464
Albania,2031,3,10.404987395272656
Albania,2031,4,13.588319287021477
Albania,2031,5,16.748044921184373
Albania,2031,6,19.147360347965332
Albania,2031,7,20.28617412332187
Albania,2031,8,19.923608298843646
Albania,2031,9,18.100499411667442
Albania,2031,10,15.161899474348502
Albania,2031,11,11.779576964800981
Albania,2031,12,8.974517816151092
Albania,2032,1,8.029773908722746
Albania,2032,2,8.22153542137039
Albania,2032,3,10.481427583433288
Albania,2032,4,13.667235051202624
Albania,2032,5,16.828383469951405
Albania,2032,6,19.228440463783954
Albania,2032,7,20.367616625598203
Albania,2032,8,20.005266506949738
Albania,2032,9,18.182389607952246
Albania,2032,10,15.244131367148839
Albania,2032,11,11.862284151452513
Albania,2032,12,9.057788246039308
Albania,2033,1,8.09741440520611
Albania,2033,2,8.295358138709162
Albania,2033,3,10.559391328796664
Albania,2033,4,13.747811797123177
Albania,2033,5,16.91048881725237
Albania,2033,6,19.311364104695713
Albania,2033,7,20.450952806703754
Albania,2033,8,20.08884449224297
Albania,2033,9,18.266204141812523
Albania,2033,10,15.328273137421093
Albania,2033,11,11.946870252436383
Albania,2033,12,9.142892641460094
Albania,2034,1,8.166216742077268
Albania,2034,2,8.370551594661265
Albania,2034,3,10.638898014739425
Albania,2034,4,13.830069506683685
Albania,2034,5,16.99438148988429
Albania,2034,6,19.39615228861021
Albania,2034,7,20.5362041219787
Albania,2034,8,20.17436409376114
Albania,2034,9,18.35196518232351
Albania,2034,10,15.414347230555904
Albania,2034,11,12.033357935692948
Albania,2034,12,9.22985383930154
Albania,2035,1,8.236198992043683
Albania,2035,2,8.44713456872796
Albania,2035,3,10.719967073780026
Albania,2035,4,13.914028211792356
Albania,2035,5,17.080082065372153
Albania,2035,6,19.482826085045417
Albania,2035,7,20.62339207914647
Albania,2035,8,20.261847203765683
Albania,2035,9,18.439694952562604
Albania,2035,10,15.502376146735514
Albania,2035,11,12.12176992487457
Albania,2035,12,9.318694732854965
Algeria,2025,1,21.616024549192844
Algeria,2025,2,22.57817454920314
Algeria,2025,3,23.478318062964718
Algeria,2025,4,24.32113686255343
Algeria,2025,5,25.05736209898987
Algeria,2025,6,25.60627529204885
Algeria,2025,7,25.87820932026898
Algeria,2025,8,25.79704941072214
Algeria,2025,9,25.322734129012133
Algeria,2025,10,24.47375636914603
Algeria,2025,11,23.3496643433582
Algeria,2025,12,22.153562572167175
Algeria,2026,1,21.652564790257202
Algeria,2026,2,22.621490772625293
Algeria,2026,3,23.526678897866987
Algeria,2026,4,24.373173074619444
Algeria,2026,5,25.11199705342824
Algeria,2026,6,25.662655416662346
Algeria,2026,7,25.935634568421847
Algeria,2026,8,25.854903724431097
Algeria,2026,9,25.38041590190278
Algeria,2026,10,24.530608909481998
Algeria,2026,11,23.40490633709942
Algeria,2026,12,22.206218545919
Algeria,2027,1,21.689977484756128
Algeria,2027,2,22.665850651847904
Algeria,2027,3,23.576221460280976
Algeria,2027,4,24.426498472636922
Algeria,2027,5,25.168000556460356
Algeria,2027,6,25.720457874181193
Algeria,2027,7,25.99451287289503
Algeria,2027,8,25.914221274379997
Algeria,2027,9,25.4395530649208
Algeria,2027,10,24.58889348525645
Algeria,2027,11,23.461544020444308
Algeria,2027,12,22.260223389764178
Algeria,2028,1,21.728280460401038
Algeria,2028,2,22.711272656412802
Algeria,2028,3,23.62696480782779
Algeria,2028,4,24.48113264865333
Algeria,2028,5,25.225392680888945
Algeria,2028,6,25.779703164383136
Algeria,2028,7,26.054865106726538
Algeria,2028,8,25.975023253196014
Algeria,2028,9,25.50016707658233
Algeria,2028,10,24.64863176716335
Algeria,2028,11,23.519599222524448
Algeria,2028,12,22.315599037528045
Algeria,2029,1,21.76749159271003
Algeria,2029,2,22.757775304483403
Algeria,2029,3,23.67892804762687
Algeria,2029,4,24.537095245018463
Algeria,2029,5,25.284193550524833
Algeria,2029,6,25.840411838901673
Algeria,2029,7,26.11671219566506
Algeria,2029,8,26.03733090699916
Algeria,2029,9,25.56227944967486
Algeria,2029,10,24.709845480939293
Algeria,2029,11,23.57909382838352
Algeria,2029,12,22.372367479846616
Algeria,2030,1,21.807628805073364
Algeria,2030,2,22.805377162870172
Algeria,2030,3,23.73213033621596
Algeria,2030,4,24.594405954275317
Algeria,2030,5,25.34442334025971
Algeria,2030,6,25.90260450122969
Algeria,2030,7,26.180075118089917
Algeria,2030,8,26.101165535395012
Algeria,2030,9,25.625911751308195
Algeria,2030,10,24.772556407487173
Algeria,2030,11,23.640049778955472
Algeria,2030,12,22.430550764002874
Algeria,2031,1,21.848710068771652
Algeria,2031,2,22.854096847110668
Algeria,2031,3,23.78659087966753
Algeria,2031,4,24.653084519360164
Algeria,2031,5,25.406102276131605
Algeria,2031,6,25.966301806850424
Algeria,2031,7,26.24497490520389
Algeria,2031,8,26.166548491565663
Algeria,2031,9,25.691085602936255
Algeria,2031,10,24.83678638283982
Algeria,2031,11,23.702489071162745
Algeria,2031,12,22.49017099411958
Algeria,2032,1,21.890753402986775
Algeria,2032,2,22.903953021462257
Algeria,2032,3,23.842328933603312
Algeria,2032,4,24.713150733504335
Algeria,2032,5,25.469250635332173
Algeria,2032,6,26.0315244631538
Algeria,2032,7,26.31143264091679
Algeria,2032,8,26.233501182244254
Algeria,2032,9,25.757822680422578
Algeria,2032,10,24.902557298247302
Algeria,2032,11,23.76643375796357
Algeria,2032,12,22.55125033108652
Algeria,2033,1,21.933776874918294
Algeria,2033,2,22.954964398978518
Algeria,2033,3,23.899363803234337
Algeria,2033,4,24.774624440387015
Algeria,2033,5,25.533888746257617
Algeria,2033,6,26.098293229596493
Algeria,2033,7,26.379469462001907
Algeria,2033,8,26.302045067820472
Algeria,2033,9,25.826144714051225
Algeria,2033,10,24.96989110024242
Algeria,2033,11,23.831905948359235
Algeria,2033,12,22.61381099270966
Algeria,2034,1,21.977798599768903
Algeria,2034,2,23.007149741545618
Algeria,2034,3,23.957714843400936
Algeria,2034,4,24.83752553411705
Algeria,2034,5,25.600036988610555
Algeria,2034,6,26.16662891769829
Algeria,2034,7,26.449106558125095
Algeria,2034,8,26.37220166239149
Algeria,2034,9,25.89607348863956
Algeria,2034,10,25.03880979060432
Algeria,2034,11,23.898927807441396
Algeria,2034,12,22.677875253711136
Algeria,2035,1,22.02283674082446
Algeria,2035,2,23.060527859915055
Algeria,2035,3,24.017401458652785
Algeria,2035,4,24.901873959316617
Algeria,2035,5,25.667715793305433
Algeria,2035,6,26.236552391049372
Algeria,2035,7,26.520365171830235
Algeria,2035,8,26.443992533732853
Algeria,2035,9,25.96763084350914
Algeria,2035,10,25.109335426485814
Algeria,2035,11,23.967521556490283
Algeria,2035,12,22.743465445725633
American Samoa,2025,1,24.479180549759803
American Samoa,2025,2,26.707826251546976
American Samoa,2025,3,27.92855418369163
American Samoa,2025,4,28.54560337215389
American Samoa,2025,5,28.826621974648333
American Samoa,2025,6,28.92516827070085
American Samoa,2025,7,28.903211651447236
American Samoa,2025,8,28.75363360953361
American Samoa,2025,9,28.422728729067785
American Samoa,2025,10,27.832705675476063
American Samoa,2025,11,26.904188185403655
American Samoa,2025,12,25.57871605659693
American Samoa,2026,1,24.508349310793164
American Samoa,2026,2,26.744972187444546
American Samoa,2026,3,27.971865939195595
American Samoa,2026,4,28.593586926680473
American Samoa,2026,5,28.878031105378795
American Samoa,2026,6,28.978935015526986
American Samoa,2026,7,28.958376771996882
American Samoa,2026,8,28.80927705425802
American Samoa,2026,9,28.477900096201665
American Samoa,2026,10,27.88635467604854
American Samoa,2026,11,26.95509510627471
American Samoa,2026,12,25.62542222351931
American Samoa,2027,1,24.538293105878438
American Samoa,2027,2,26.78305463961533
American Samoa,2027,3,28.016243633713202
American Samoa,2027,4,28.642736300910656
American Samoa,2027,5,28.930678911860923
American Samoa,2027,6,29.03398878499229
American Samoa,2027,7,29.014855276390335
American Samoa,2027,8,28.866240769709293
American Samoa,2027,9,28.534381666079753
American Samoa,2027,10,27.941289374009102
American Samoa,2027,11,27.007251299220115
American Samoa,2027,12,25.67333183466053
American Samoa,2028,1,24.569029738279824
American Samoa,2028,2,26.822092033246918
American Samoa,2028,3,28.061706260611572
American Samoa,2028,4,28.69307100271635
American Samoa,2028,5,28.98458536279668
American Samoa,2028,6,29.090349954895828
American Samoa,2028,7,29.072667893750804
American Samoa,2028,8,28.924545784674592
American Samoa,2028,9,28.592194713489334
American Samoa,2028,10,27.99753123636856
American Samoa,2028,11,27.060678369777634
American Samoa,2028,12,25.722466580388755
American Samoa,2029,1,24.60057705923191
American Samoa,2029,2,26.86210284232675
American Samoa,2029,3,28.108272862919875
American Samoa,2029,4,28.744610590410048
American Samoa,2029,5,29.039770478059836
American Samoa,2029,6,29.148038953016112
American Samoa,2029,7,29.131835406050413
American Samoa,2029,8,28.9842131816049
American Samoa,2029,9,28.651360567612755
American Samoa,2029,10,28.055101785402258
American Samoa,2029,11,27.11539797957903
American Samoa,2029,12,25.772848207973766
American Samoa,2030,1,24.632952968023346
American Samoa,2030,2,26.90310558960573
American Samoa,2030,3,28.15596253322019
American Samoa,2030,4,28.79737467269024
American Samoa,2030,5,29.09625432881603
American Samoa,2030,6,29.207076259172936
American Samoa,2030,7,29.19237864812112
American Samoa,2030,8,29.045264096622304
American Samoa,2030,9,28.711900612158388
American Samoa,2030,10,28.114022598646443
American Samoa,2030,11,27.17143184631732
American Samoa,2030,12,25.82449852157606
American Samoa,2031,1,24.666175411985932
American Samoa,2031,2,26.94511884682015
American Samoa,2031,3,28.204794413865784
American Samoa,2031,4,28.85138290885243
American Samoa,2031,5,29.15405703749002
American Samoa,2031,6,29.267482405354713
American Samoa,2031,7,29.25431850773475
American Samoa,2031,8,29.10771971955637
American Samoa,2031,9,28.773836285356992
American Samoa,2031,10,28.17431530904014
American Samoa,2031,11,27.228801743866825
American Samoa,2031,12,25.877439382359626
American Samoa,2032,1,24.700262386578288
American Samoa,2032,2,26.98816123454253
American Samoa,2032,3,28.254787696850144
American Samoa,2032,4,28.906655008618145
American Samoa,2032,5,29.21319877790029
American Samoa,2032,6,29.329277975656623
American Samoa,2032,7,29.31767592558481
