Ülke,Ülke Kodu,Yıl,Ay
Afghanistan,12.061308305306865,2025,1
Afghanistan,12.061308305306865,2025,7
Afghanistan,12.061308305306865,2025,10
Afghanistan,12.061308305306865,2026,1
Afghanistan,12.061308305306865,2026,7
Afghanistan,12.061308305306865,2026,10
Afghanistan,12.061308305306865,2027,1
Afghanistan,12.061308305306865,2027,7
Afghanistan,12.061308305306865,2027,10
Afghanistan,12.061308305306865,2028,1
Afghanistan,12.061308305306865,2028,7
Afghanistan,12.061308305306865,2028,10
Afghanistan,12.061308305306865,2029,1
Afghanistan,12.061308305306865,2029,7
Afghanistan,12.061308305306865,2029,10
Afghanistan,12.061308305306865,2030,1
Afghanistan,12.061308305306865,2030,7
Afghanistan,12.061308305306865,2030,10
Afghanistan,12.061308305306865,2031,1
Afghanistan,12.061308305306865,2031,7
Afghanistan,12.061308305306865,2031,10
Afghanistan,12.061308305306865,2032,1
Afghanistan,12.061308305306865,2032,7
Afghanistan,12.061308305306865,2032,10
Afghanistan,12.061308305306865,2033,1
Afghanistan,12.061308305306865,2033,7
Afghanistan,12.061308305306865,2033,10
Afghanistan,12.061308305306865,2034,1
Afghanistan,12.061308305306865,2034,7
Afghanistan,12.061308305306865,2034,10
Afghanistan,12.061308305306865,2035,1
Afghanistan,12.061308305306865,2035,7
Afghanistan,12.061308305306865,2035,10
Afghanistan,12.061308305306865,2036,1
Afghanistan,12.061308305306865,2036,7
Afghanistan,12.061308305306865,2036,10
Afghanistan,12.061308305306865,2037,1
Afghanistan,12.061308305306865,2037,7
Afghanistan,12.061308305306865,2037,10
Afghanistan,12.061308305306865,2038,1
Afghanistan,12.061308305306865,2038,7
Afghanistan,12.061308305306865,2038,10
Afghanistan,12.061308305306865,2039,1
Afghanistan,12.061308305306865,2039,7
Afghanistan,12.061308305306865,2039,10
Afghanistan,12.061308305306865,2040,1
Afghanistan,12.061308305306865,2040,7
Afghanistan,12.061308305306865,2040,10
Afghanistan,12.061308305306865,2041,1
Afghanistan,12.061308305306865,2041,7
Afghanistan,12.061308305306865,2041,10
Afghanistan,12.061308305306865,2042,1
Afghanistan,12.061308305306865,2042,7
Afghanistan,12.061308305306865,2042,10
Afghanistan,12.061308305306865,2043,1
Afghanistan,12.061308305306865,2043,7
Afghanistan,12.061308305306865,2043,10
Afghanistan,12.061308305306865,2044,1
Afghanistan,12.061308305306865,2044,7
Afghanistan,12.061308305306865,2044,10
Afghanistan,12.061308305306865,2045,1
Afghanistan,12.061308305306865,2045,7
Afghanistan,12.061308305306865,2045,10
Afghanistan,12.061308305306865,2046,1
Afghanistan,12.061308305306865,2046,7
Afghanistan,12.061308305306865,2046,10
Afghanistan,12.061308305306865,2047,1
Afghanistan,12.061308305306865,2047,7
Afghanistan,12.061308305306865,2047,10
Afghanistan,12.061308305306865,2048,1
Afghanistan,12.061308305306865,2048,7
Afghanistan,12.061308305306865,2048,10
Afghanistan,12.061308305306865,2049,1
Afghanistan,12.061308305306865,2049,7
Afghanistan,12.061308305306865,2049,10
Afghanistan,12.061308305306865,2050,1
Afghanistan,12.061308305306865,2050,7
Afghanistan,12.061308305306865,2050,10
Albania,12.30147626297745,2025,1
Albania,12.30147626297745,2025,7
Albania,12.30147626297745,2025,10
Albania,12.30147626297745,2026,1
Albania,12.30147626297745,2026,7
Albania,12.30147626297745,2026,10
Albania,12.30147626297745,2027,1
Albania,12.30147626297745,2027,7
Albania,12.30147626297745,2027,10
Albania,12.30147626297745,2028,1
Albania,12.30147626297745,2028,7
Albania,12.30147626297745,2028,10
Albania,12.30147626297745,2029,1
Albania,12.30147626297745,2029,7
Albania,12.30147626297745,2029,10
Albania,12.30147626297745,2030,1
Albania,12.30147626297745,2030,7
Albania,12.30147626297745,2030,10
