Ülke,Ülke Kodu,Yıl,Ay
Afghanistan,12.061308305306865,2025,1
Afghanistan,12.061308305306865,2025,2
Afghanistan,12.061308305306865,2025,3
Afghanistan,12.061308305306865,2025,4
Afghanistan,12.061308305306865,2025,5
Afghanistan,12.061308305306865,2025,6
Afghanistan,12.061308305306865,2025,7
Afghanistan,12.061308305306865,2025,8
Afghanistan,12.061308305306865,2025,9
Afghanistan,12.061308305306865,2025,10
Afghanistan,12.061308305306865,2025,11
Afghanistan,12.061308305306865,2025,12
Afghanistan,12.061308305306865,2026,1
Afghanistan,12.061308305306865,2026,2
Afghanistan,12.061308305306865,2026,3
Afghanistan,12.061308305306865,2026,4
Afghanistan,12.061308305306865,2026,5
Afghanistan,12.061308305306865,2026,6
Afghanistan,12.061308305306865,2026,7
Afghanistan,12.061308305306865,2026,8
Afghanistan,12.061308305306865,2026,9
Afghanistan,12.061308305306865,2026,10
Afghanistan,12.061308305306865,2026,11
Afghanistan,12.061308305306865,2026,12
Afghanistan,12.061308305306865,2027,1
Afghanistan,12.061308305306865,2027,2
Afghanistan,12.061308305306865,2027,3
Afghanistan,12.061308305306865,2027,4
Afghanistan,12.061308305306865,2027,5
Afghanistan,12.061308305306865,2027,6
Afghanistan,12.061308305306865,2027,7
Afghanistan,12.061308305306865,2027,8
Afghanistan,12.061308305306865,2027,9
Afghanistan,12.061308305306865,2027,10
Afghanistan,12.061308305306865,2027,11
Afghanistan,12.061308305306865,2027,12
Afghanistan,12.061308305306865,2028,1
Afghanistan,12.061308305306865,2028,2
Afghanistan,12.061308305306865,2028,3
Afghanistan,12.061308305306865,2028,4
Afghanistan,12.061308305306865,2028,5
Afghanistan,12.061308305306865,2028,6
Afghanistan,12.061308305306865,2028,7
Afghanistan,12.061308305306865,2028,8
Afghanistan,12.061308305306865,2028,9
Afghanistan,12.061308305306865,2028,10
Afghanistan,12.061308305306865,2028,11
Afghanistan,12.061308305306865,2028,12
Afghanistan,12.061308305306865,2029,1
Afghanistan,12.061308305306865,2029,2
Afghanistan,12.061308305306865,2029,3
Afghanistan,12.061308305306865,2029,4
Afghanistan,12.061308305306865,2029,5
Afghanistan,12.061308305306865,2029,6
Afghanistan,12.061308305306865,2029,7
Afghanistan,12.061308305306865,2029,8
Afghanistan,12.061308305306865,2029,9
Afghanistan,12.061308305306865,2029,10
Afghanistan,12.061308305306865,2029,11
Afghanistan,12.061308305306865,2029,12
Afghanistan,12.061308305306865,2030,1
Afghanistan,12.061308305306865,2030,2
Afghanistan,12.061308305306865,2030,3
Afghanistan,12.061308305306865,2030,4
Afghanistan,12.061308305306865,2030,5
Afghanistan,12.061308305306865,2030,6
Afghanistan,12.061308305306865,2030,7
Afghanistan,12.061308305306865,2030,8
Afghanistan,12.061308305306865,2030,9
Afghanistan,12.061308305306865,2030,10
Afghanistan,12.061308305306865,2030,11
Afghanistan,12.061308305306865,2030,12
Afghanistan,12.061308305306865,2031,1
Afghanistan,12.061308305306865,2031,2
Afghanistan,12.061308305306865,2031,3
Afghanistan,12.061308305306865,2031,4
Afghanistan,12.061308305306865,2031,5
Afghanistan,12.061308305306865,2031,6
Afghanistan,12.061308305306865,2031,7
Afghanistan,12.061308305306865,2031,8
Afghanistan,12.061308305306865,2031,9
Afghanistan,12.061308305306865,2031,10
Afghanistan,12.061308305306865,2031,11
Afghanistan,12.061308305306865,2031,12
Afghanistan,12.061308305306865,2032,1
Afghanistan,12.061308305306865,2032,2
Afghanistan,12.061308305306865,2032,3
Afghanistan,12.061308305306865,2032,4
Afghanistan,12.061308305306865,2032,5
Afghanistan,12.061308305306865,2032,6
Afghanistan,12.061308305306865,2032,7
Afghanistan,12.061308305306865,2032,8
Afghanistan,12.061308305306865,2032,9
Afghanistan,12.061308305306865,2032,10
Afghanistan,12.061308305306865,2032,11
Afghanistan,12.061308305306865,2032,12
Afghanistan,12.061308305306865,2033,1
Afghanistan,12.061308305306865,2033,2
Afghanistan,12.061308305306865,2033,3
Afghanistan,12.061308305306865,2033,4
Afghanistan,12.061308305306865,2033,5
Afghanistan,12.061308305306865,2033,6
Afghanistan,12.061308305306865,2033,7
Afghanistan,12.061308305306865,2033,8
Afghanistan,12.061308305306865,2033,9
Afghanistan,12.061308305306865,2033,10
Afghanistan,12.061308305306865,2033,11
Afghanistan,12.061308305306865,2033,12
Afghanistan,12.061308305306865,2034,1
Afghanistan,12.061308305306865,2034,2
Afghanistan,12.061308305306865,2034,3
Afghanistan,12.061308305306865,2034,4
Afghanistan,12.061308305306865,2034,5
Afghanistan,12.061308305306865,2034,6
Afghanistan,12.061308305306865,2034,7
Afghanistan,12.061308305306865,2034,8
Afghanistan,12.061308305306865,2034,9
Afghanistan,12.061308305306865,2034,10
Afghanistan,12.061308305306865,2034,11
Afghanistan,12.061308305306865,2034,12
Afghanistan,12.061308305306865,2035,1
Afghanistan,12.061308305306865,2035,2
Afghanistan,12.061308305306865,2035,3
Afghanistan,12.061308305306865,2035,4
Afghanistan,12.061308305306865,2035,5
Afghanistan,12.061308305306865,2035,6
Afghanistan,12.061308305306865,2035,7
Afghanistan,12.061308305306865,2035,8
Afghanistan,12.061308305306865,2035,9
Afghanistan,12.061308305306865,2035,10
Afghanistan,12.061308305306865,2035,11
Afghanistan,12.061308305306865,2035,12
Albania,12.30147626297745,2025,1
Albania,12.30147626297745,2025,2
Albania,12.30147626297745,2025,3
Albania,12.30147626297745,2025,4
Albania,12.30147626297745,2025,5
Albania,12.30147626297745,2025,6
Albania,12.30147626297745,2025,7
Albania,12.30147626297745,2025,8
Albania,12.30147626297745,2025,9
Albania,12.30147626297745,2025,10
Albania,12.30147626297745,2025,11
Albania,12.30147626297745,2025,12
Albania,12.30147626297745,2026,1
Albania,12.30147626297745,2026,2
Albania,12.30147626297745,2026,3
Albania,12.30147626297745,2026,4
Albania,12.30147626297745,2026,5
Albania,12.30147626297745,2026,6
Albania,12.30147626297745,2026,7
Albania,12.30147626297745,2026,8
Albania,12.30147626297745,2026,9
Albania,12.30147626297745,2026,10
Albania,12.30147626297745,2026,11
Albania,12.30147626297745,2026,12
Albania,12.30147626297745,2027,1
Albania,12.30147626297745,2027,2
Albania,12.30147626297745,2027,3
Albania,12.30147626297745,2027,4
Albania,12.30147626297745,2027,5
Albania,12.30147626297745,2027,6
Albania,12.30147626297745,2027,7
Albania,12.30147626297745,2027,8
Albania,12.30147626297745,2027,9
Albania,12.30147626297745,2027,10
Albania,12.30147626297745,2027,11
Albania,12.30147626297745,2027,12
Albania,12.30147626297745,2028,1
Albania,12.30147626297745,2028,2
Albania,12.30147626297745,2028,3
Albania,12.30147626297745,2028,4
Albania,12.30147626297745,2028,5
Albania,12.30147626297745,2028,6
Albania,12.30147626297745,2028,7
Albania,12.30147626297745,2028,8
Albania,12.30147626297745,2028,9
Albania,12.30147626297745,2028,10
Albania,12.30147626297745,2028,11
Albania,12.30147626297745,2028,12
Albania,12.30147626297745,2029,1
Albania,12.30147626297745,2029,2
Albania,12.30147626297745,2029,3
Albania,12.30147626297745,2029,4
Albania,12.30147626297745,2029,5
Albania,12.30147626297745,2029,6
Albania,12.30147626297745,2029,7
Albania,12.30147626297745,2029,8
Albania,12.30147626297745,2029,9
Albania,12.30147626297745,2029,10
Albania,12.30147626297745,2029,11
Albania,12.30147626297745,2029,12
Albania,12.30147626297745,2030,1
Albania,12.30147626297745,2030,2
Albania,12.30147626297745,2030,3
Albania,12.30147626297745,2030,4
Albania,12.30147626297745,2030,5
Albania,12.30147626297745,2030,6
Albania,12.30147626297745,2030,7
Albania,12.30147626297745,2030,8
Albania,12.30147626297745,2030,9
Albania,12.30147626297745,2030,10
Albania,12.30147626297745,2030,11
Albania,12.30147626297745,2030,12
Albania,12.30147626297745,2031,1
Albania,12.30147626297745,2031,2
Albania,12.30147626297745,2031,3
Albania,12.30147626297745,2031,4
Albania,12.30147626297745,2031,5
Albania,12.30147626297745,2031,6
Albania,12.30147626297745,2031,7
Albania,12.30147626297745,2031,8
Albania,12.30147626297745,2031,9
Albania,12.30147626297745,2031,10
Albania,12.30147626297745,2031,11
Albania,12.30147626297745,2031,12
Albania,12.30147626297745,2032,1
Albania,12.30147626297745,2032,2
Albania,12.30147626297745,2032,3
Albania,12.30147626297745,2032,4
Albania,12.30147626297745,2032,5
Albania,12.30147626297745,2032,6
Albania,12.30147626297745,2032,7
Albania,12.30147626297745,2032,8
Albania,12.30147626297745,2032,9
Albania,12.30147626297745,2032,10
Albania,12.30147626297745,2032,11
Albania,12.30147626297745,2032,12
Albania,12.30147626297745,2033,1
Albania,12.30147626297745,2033,2
Albania,12.30147626297745,2033,3
Albania,12.30147626297745,2033,4
Albania,12.30147626297745,2033,5
Albania,12.30147626297745,2033,6
Albania,12.30147626297745,2033,7
Albania,12.30147626297745,2033,8
Albania,12.30147626297745,2033,9
Albania,12.30147626297745,2033,10
Albania,12.30147626297745,2033,11
Albania,12.30147626297745,2033,12
Albania,12.30147626297745,2034,1
Albania,12.30147626297745,2034,2
Albania,12.30147626297745,2034,3
Albania,12.30147626297745,2034,4
Albania,12.30147626297745,2034,5
Albania,12.30147626297745,2034,6
Albania,12.30147626297745,2034,7
Albania,12.30147626297745,2034,8
Albania,12.30147626297745,2034,9
Albania,12.30147626297745,2034,10
Albania,12.30147626297745,2034,11
Albania,12.30147626297745,2034,12
Albania,12.30147626297745,2035,1
Albania,12.30147626297745,2035,2
Albania,12.30147626297745,2035,3
Albania,12.30147626297745,2035,4
Albania,12.30147626297745,2035,5
Albania,12.30147626297745,2035,6
Albania,12.30147626297745,2035,7
Albania,12.30147626297745,2035,8
Albania,12.30147626297745,2035,9
Albania,12.30147626297745,2035,10
Albania,12.30147626297745,2035,11
Albania,12.30147626297745,2035,12
Algeria,22.948630152843137,2025,1
Algeria,22.948630152843137,2025,2
Algeria,22.948630152843137,2025,3
Algeria,22.948630152843137,2025,4
Algeria,22.948630152843137,2025,5
Algeria,22.948630152843137,2025,6
Algeria,22.948630152843137,2025,7
Algeria,22.948630152843137,2025,8
Algeria,22.948630152843137,2025,9
Algeria,22.948630152843137,2025,10
Algeria,22.948630152843137,2025,11
Algeria,22.948630152843137,2025,12
Algeria,22.948630152843137,2026,1
Algeria,22.948630152843137,2026,2
Algeria,22.948630152843137,2026,3
Algeria,22.948630152843137,2026,4
Algeria,22.948630152843137,2026,5
Algeria,22.948630152843137,2026,6
Algeria,22.948630152843137,2026,7
Algeria,22.948630152843137,2026,8
Algeria,22.948630152843137,2026,9
Algeria,22.948630152843137,2026,10
Algeria,22.948630152843137,2026,11
Algeria,22.948630152843137,2026,12
Algeria,22.948630152843137,2027,1
Algeria,22.948630152843137,2027,2
Algeria,22.948630152843137,2027,3
Algeria,22.948630152843137,2027,4
Algeria,22.948630152843137,2027,5
Algeria,22.948630152843137,2027,6
Algeria,22.948630152843137,2027,7
Algeria,22.948630152843137,2027,8
Algeria,22.948630152843137,2027,9
Algeria,22.948630152843137,2027,10
Algeria,22.948630152843137,2027,11
Algeria,22.948630152843137,2027,12
Algeria,22.948630152843137,2028,1
Algeria,22.948630152843137,2028,2
Algeria,22.948630152843137,2028,3
Algeria,22.948630152843137,2028,4
Algeria,22.948630152843137,2028,5
Algeria,22.948630152843137,2028,6
Algeria,22.948630152843137,2028,7
Algeria,22.948630152843137,2028,8
Algeria,22.948630152843137,2028,9
Algeria,22.948630152843137,2028,10
Algeria,22.948630152843137,2028,11
Algeria,22.948630152843137,2028,12
Algeria,22.948630152843137,2029,1
Algeria,22.948630152843137,2029,2
Algeria,22.948630152843137,2029,3
Algeria,22.948630152843137,2029,4
Algeria,22.948630152843137,2029,5
Algeria,22.948630152843137,2029,6
Algeria,22.948630152843137,2029,7
Algeria,22.948630152843137,2029,8
Algeria,22.948630152843137,2029,9
Algeria,22.948630152843137,2029,10
Algeria,22.948630152843137,2029,11
Algeria,22.948630152843137,2029,12
Algeria,22.948630152843137,2030,1
Algeria,22.948630152843137,2030,2
Algeria,22.948630152843137,2030,3
Algeria,22.948630152843137,2030,4
Algeria,22.948630152843137,2030,5
Algeria,22.948630152843137,2030,6
Algeria,22.948630152843137,2030,7
Algeria,22.948630152843137,2030,8
Algeria,22.948630152843137,2030,9
Algeria,22.948630152843137,2030,10
Algeria,22.948630152843137,2030,11
Algeria,22.948630152843137,2030,12
Algeria,22.948630152843137,2031,1
Algeria,22.948630152843137,2031,2
Algeria,22.948630152843137,2031,3
Algeria,22.948630152843137,2031,4
Algeria,22.948630152843137,2031,5
Algeria,22.948630152843137,2031,6
Algeria,22.948630152843137,2031,7
Algeria,22.948630152843137,2031,8
Algeria,22.948630152843137,2031,9
Algeria,22.948630152843137,2031,10
Algeria,22.948630152843137,2031,11
Algeria,22.948630152843137,2031,12
Algeria,22.948630152843137,2032,1
Algeria,22.948630152843137,2032,2
Algeria,22.948630152843137,2032,3
Algeria,22.948630152843137,2032,4
Algeria,22.948630152843137,2032,5
Algeria,22.948630152843137,2032,6
Algeria,22.948630152843137,2032,7
Algeria,22.948630152843137,2032,8
Algeria,22.948630152843137,2032,9
Algeria,22.948630152843137,2032,10
Algeria,22.948630152843137,2032,11
